episode,title,abbr,stardate,original_airdate,production_number
6x17,"Birthright, Part II",TNG,46579.2,1993-03-01,40276-243
6x18,Starship Mine,TNG,46682.4,1993-03-29,40276-244
6x19,Lessons,TNG,46693.1,1993-04-05,40276-245
6x20,The Chase,TNG,46731.5,1993-04-26,40276-246
6x21,Frame of Mind,TNG,46778.1,1993-05-03,40276-247
6x22,Suspicions,TNG,46830.1,1993-05-10,40276-248
6x23,Rightful Heir,TNG,46852.2,1993-05-17,40276-249
6x24,Second Chances,TNG,46915.2,1993-05-24,40276-250
6x25,Timescape,TNG,46944.2,1993-06-12,40276-251
6x26,Descent,TNG,46982.1,1993-06-21,40276-252
7x01,"Descent, Part II",TNG,47025.4,1993-09-20,40277-253
7x02,Liaisons,TNG,Unknown,1993-09-27,40277-254
7x03,Interface,TNG,47215.5,1993-10-04,40277-255
7x04,"Gambit, Part I",TNG,47135.2,1993-10-11,40277-256
7x05,"Gambit, Part II",TNG,47160.1,1993-10-18,40277-257
7x06,Phantasms,TNG,47225.7,1993-10-25,40277-258
7x07,Dark Page,TNG,47254.1,1993-11-01,40277-259
7x08,Attached,TNG,47304.2,1993-11-08,40277-260
7x09,Force of Nature,TNG,47310.2,1993-11-15,40277-261
7x10,Inheritance,TNG,47410.2,1993-11-22,40277-262
7x11,Parallels,TNG,47391.2,1993-11-29,40277-263
7x12,The Pegasus,TNG,47457.1,1994-01-10,40277-264
7x13,Homeward,TNG,47423.9,1994-01-17,40277-265
7x14,Sub Rosa,TNG,Unknown,1994-01-31,40277-266
7x15,Lower Decks,TNG,47566.7,1994-02-07,40277-267
7x16,Thine Own Self,TNG,47611.2,1994-02-14,40277-268
7x17,Masks,TNG,47615.2,1994-02-21,40277-269
7x18,Eye of the Beholder,TNG,47622.1,1994-02-28,40277-270
7x19,Genesis,TNG,47653.2,1994-03-21,40277-271
7x20,Journey's End,TNG,47751.2,1994-03-28,40277-272
7x21,Firstborn,TNG,47779.4,1994-04-25,40277-273
7x22,Bloodlines,TNG,47829.1,1994-05-02,40277-274
7x23,Emergence,TNG,47869.2,1994-05-09,40277-275
7x24,Preemptive Strike,TNG,47941.7,1994-05-16,40277-276
7x25/26,All Good Things...,TNG,47988.0,1994-05-23,40277-747
1x01/02,Emissary,DS9,46379.1,1993-01-03,40511-721
1x03,Past Prologue,DS9,Unknown,1993-01-09,40511-404
1x04,A Man Alone,DS9,46421.5,1993-01-17,40511-403
1x05,Babel,DS9,46423.7,1993-01-24,40511-405
1x06,Captive Pursuit,DS9,46477.5,1993-01-30,40511-406
1x07,Q-Less,DS9,46531.2,1993-02-06,40511-407
1x08,Dax,DS9,46910.1,1993-02-13,40511-408
1x09,The Passenger,DS9,Unknown,1993-02-20,40511-409
1x10,Move Along Home,DS9,Unknown,1993-03-14,40511-410
1x11,The Nagus,DS9,Unknown,1993-03-21,40511-411
1x12,Vortex,DS9,Unknown,1993-04-18,40511-412
1x13,Battle Lines,DS9,Unknown,1993-04-25,40511-413
1x14,The Storyteller,DS9,46729.1,1993-05-02,40511-414
1x15,Progress,DS9,46844.3,1993-05-09,40511-415
1x16,If Wishes Were Horses,DS9,46853.2,1993-05-16,40511-416
1x17,The Forsaken,DS9,46925.1,1993-05-23,40511-417
1x18,Dramatis Personae,DS9,46922.3,1993-05-30,40511-418
1x19,Duet,DS9,Unknown,1993-06-13,40511-419
1x20,In the Hands of the Prophets,DS9,Unknown,1993-06-20,40511-420
2x01,The Homecoming,DS9,Unknown,1993-09-26,40512-421
2x02,The Circle,DS9,Unknown,1993-10-03,40512-422
2x03,The Siege,DS9,Unknown,1993-10-10,40512-423
2x04,Invasive Procedures,DS9,47182.1,1993-10-17,40512-424
2x05,Cardassians,DS9,47177.2,1993-10-24,40512-425
2x06,Melora,DS9,47229.1,1993-10-31,40512-426
2x07,Rules of Acquisition,DS9,Unknown,1993-11-06,40512-427
2x08,Necessary Evil,DS9,47282.5-47284.1,1993-11-14,40512-428
2x09,Second Sight,DS9,47329.4,1993-11-20,40512-429
2x10,Sanctuary,DS9,47391.2,1993-11-28,40512-430
